idol_id,group_id,is_active,start_year,end_year
1,1,1,2022,
1,2,0,2018,2021
2,1,1,2022,
2,2,0,2018,2021
3,1,1,2022,
4,1,1,2022,
5,1,1,2022,
6,3,1,2020,
6,4,0,2022,2023
7,3,1,2020,
8,3,1,2020,
8,4,0,2022,2023
9,3,1,2020,
10,5,1,2015,
11,5,1,2015,
12,5,1,2015,
13,5,1,2015,
13,6,1,2023,
14,5,1,2015,
14,6,1,2023,
15,5,1,2015,
15,6,1,2023,
16,5,1,2015,
17,5,1,2015,
18,5,1,2015,
19,2,0,2018,2021
19,7,1,2021,
20,7,1,2021,
21,7,1,2021,
22,2,0,2018,2021
22,7,1,2021,
23,7,1,2021,
24,7,1,2021,
25,8,1,2016,
26,8,1,2016,
27,8,1,2016,
28,8,1,2016,
29,9,1,2023,
30,9,1,2023,
31,9,1,2023,
32,9,1,2024,
33,9,1,2023,
34,9,1,2023,
35,9,1,2023,
36,10,1,2023,
37,10,1,2023,
38,10,1,2023,
39,10,1,2023,
40,11,1,2023,
41,11,1,2023,
42,11,1,2023,
43,11,1,2023,
44,11,1,2023,
45,12,1,2019,
46,12,1,2019,
47,12,1,2019,
48,12,1,2019,
49,12,1,2019,
50,13,1,2020,
51,13,1,2020,
52,13,1,2020,
53,13,1,2020,
54,13,1,2020,
55,13,1,2020,
56,14,1,2018,
57,14,1,2018,
58,14,1,2018,
59,14,1,2018,
60,14,1,2018,
61,14,0,2018,2021
61,20,1,2023,
62,15,1,2022,
63,15,1,2022,
64,15,1,2022,
65,15,1,2022,
66,15,1,2022,
67,15,1,2022,
68,16,1,2022,
69,16,1,2022,
70,16,1,2022,
71,16,1,2022,
72,16,1,2022,
73,17,1,2024,
74,17,1,2024,
75,17,1,2024,
76,17,1,2024,
77,17,1,2024,
78,2,0,2018,2021
78,20,1,2023,
79,18,1,2024,
80,18,1,2024,
81,18,1,2024,
82,18,1,2024,
83,18,1,2024,
84,19,0,2016,2023
84,21,1,2024,
85,19,0,2017,2023
85,22,1,2023,
86,19,0,2017,2023
86,20,1,2024,
87,19,0,2017,2023
87,21,1,2024,
88,19,0,2017,2023
88,21,1,2024,
89,19,0,2016,2023
89,21,1,2024,
90,19,0,2016,2023
90,22,1,2023,
91,19,0,2018,
91,22,1,2023,
92,19,0,2017,2023
92,21,1,2024,
93,19,0,2018,2023
93,22,1,2023,
94,19,0,2017,2023
94,22,1,2023,
95,19,0,2017,2022
95,20,1,2023,
96,23,1,2014,
97,23,1,2014,
98,23,1,2014,
99,23,1,2014,
100,23,1,2014,
101,24,0,2016,2021
101,20,1,2019,
102,25,1,2007,
103,25,1,2007,
104,25,1,2007,
105,25,1,2007,
106,25,1,2007,
107,25,1,2007,
108,25,1,2007,
109,25,1,2007,
110,25,0,2007,2014
110,20,1,2016,
111,26,1,2014,
112,26,1,2014,
113,26,1,2014,
114,26,1,2014,
115,27,1,2009,
116,27,1,2009,
117,27,1,2009,
118,27,1,2009,
119,29,0,2015,2022
119,28,1,2022,
120,28,1,2022,
121,28,1,2022,
122,28,1,2022,
123,28,1,2022,
124,28,1,2022,
125,28,1,2022,
126,28,0,2022,2024
126,31,1,2024,
127,30,0,2019,2020
127,28,0,2022,2024
127,31,1,2024,
128,32,1,2024,
129,32,1,2024,
130,32,1,2024,
131,32,1,2024,
132,32,1,2024,
133,24,0,2016,2017
133,20,1,2017,
134,33,0,2010,2017
134,20,1,2013,
135,33,1,2010,
136,33,0,2010,2017
136,20,1,2017,
137,33,1,2010
138,29,1,2015,
139,29,1,2015,
140,29,1,2015,
141,29,1,2016,
142,29,1,2015,
143,29,1,2015,
144,2,0,2018,2021
144,20,1,2021,
145,34,1,2015,
146,34,1,2015,
147,34,0,2015,2021
147,35,1,2022,
148,34,1,2015,
149,34,0,2015,2021
149,35,1,2022,
150,34,0,2015,2021
150,35,1,2022,
151,2,0,2018,2021
151,20,1,2022,
